Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
2005,23,Philadelphia 76ers,0,0,82,43,39,1.102564103,242.1,35.9,82.1,0.43700000000000006,6.2,17.7,0.348,29.8,64.4,0.462,21.1,26.8,0.789,11.1,30.9,42.0,20.9,9.2,3.9,15.5,22.9,99.1,26.4,39,43,-0.74,-0.33,-1.07,103.5,104.3,94.9,0.326,0.21600000000000003,0.528,0.475,14.2,25.4,0.257,0.475,14.2,72.7,0.257,732686,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
2006,23,Philadelphia 76ers,0,0,82,38,44,0.8636363640000001,242.7,36.6,79.8,0.45799999999999996,4.6,12.6,0.364,32.0,67.3,0.47600000000000003,21.6,28.4,0.76,10.6,29.6,40.2,20.2,7.9,4.9,14.1,20.9,99.4,26.5,35,47,-1.95,-0.15,-2.1,106.0,108.1,92.7,0.35600000000000004,0.158,0.5379999999999999,0.48700000000000004,13.3,25.6,0.27,0.48700000000000004,13.3,71.3,0.27,677278,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
2007,23,Philadelphia 76ers,0,0,82,35,47,0.7446808509999999,242.4,35.8,78.1,0.45799999999999996,3.5,10.0,0.345,32.3,68.1,0.474,20.0,26.0,0.767,11.0,28.7,39.7,20.4,7.2,4.8,15.3,20.4,94.9,26.2,32,50,-3.02,-0.23,-3.26,103.6,106.9,90.7,0.33299999999999996,0.128,0.53,0.48,14.6,27.2,0.255,0.48,14.6,70.8,0.255,608603,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1997,24,Phoenix Suns,1,0,82,40,42,0.9523809520000001,242.1,38.3,81.8,0.469,6.4,17.4,0.369,31.9,64.4,0.496,19.7,25.9,0.7609999999999999,11.2,29.0,40.1,25.2,8.1,3.9,14.4,21.1,102.8,28.5,43,39,0.66,-0.45,0.21,109.3,108.6,93.2,0.317,0.213,0.552,0.508,13.4,27.1,0.24100000000000002,0.508,13.4,69.4,0.24100000000000002,779940,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1998,24,Phoenix Suns,1,0,82,56,26,2.153846154,243.4,38.3,81.8,0.46799999999999997,5.3,14.8,0.35600000000000004,33.0,67.1,0.49200000000000005,17.8,23.8,0.7490000000000001,12.1,29.9,42.0,25.9,9.2,5.2,15.1,21.5,99.6,28.2,56,26,5.18,-0.75,4.44,107.4,101.8,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.217,0.5,14.0,70.0,0.217,779943,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,24,Phoenix Suns,1,0,50,27,23,1.173913043,241.0,35.9,80.1,0.449,5.2,14.0,0.37200000000000005,30.7,66.0,0.465,18.5,24.3,0.76,12.0,28.4,40.3,25.0,8.9,4.0,13.6,20.4,95.6,29.3,29,21,2.26,-0.11,2.15,105.8,103.3,90.0,0.303,0.175,0.526,0.48100000000000004,13.0,28.4,0.231,0.48100000000000004,13.0,69.8,0.231,472283,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2000,24,Phoenix Suns,1,0,82,53,29,1.827586207,241.5,37.7,82.6,0.457,5.6,15.2,0.368,32.1,67.4,0.47700000000000004,17.9,23.6,0.759,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1,98.9,28.6,56,26,5.22,0.02,5.24,104.6,99.0,94.0,0.28600000000000003,0.184,0.532,0.491,15.2,29.3,0.217,0.491,15.2,70.5,0.217,773115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2001,24,Phoenix Suns,1,0,82,51,31,1.64516129,241.5,35.9,82.4,0.436,4.0,12.9,0.315,31.9,69.5,0.45799999999999996,18.2,24.1,0.755,11.8,30.8,42.7,23.2,9.5,5.2,15.2,22.7,94.0,28.6,48,34,2.21,0.42,2.63,100.3,98.0,93.1,0.292,0.156,0.506,0.46,14.1,27.3,0.221,0.46,14.1,73.7,0.221,737586,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2002,24,Phoenix Suns,1,0,82,36,46,0.7826086959999999,241.8,37.8,84.6,0.447,4.4,13.4,0.327,33.4,71.2,0.469,15.2,19.9,0.767,13.1,29.6,42.7,22.4,8.1,4.9,14.7,21.8,95.1,26.5,39,43,-0.68,0.39,-0.3,103.3,104.0,91.4,0.235,0.158,0.51,0.47200000000000003,13.6,30.1,0.18,0.47200000000000003,13.6,70.2,0.18,668939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
2003,24,Phoenix Suns,1,0,82,44,38,1.1578947370000001,241.5,36.6,82.6,0.44299999999999995,4.8,14.0,0.34299999999999997,31.8,68.6,0.46399999999999997,17.4,23.5,0.742,12.8,29.8,42.5,21.0,8.1,4.9,14.7,22.0,95.5,25.2,44,38,1.13,0.43,1.57,103.7,102.5,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.21100000000000002,0.473,13.7,70.3,0.21100000000000002,666559,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
