Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
2012,14,Los Angeles Lakers,1,0,66,41,25,1.64,243.4,36.8,80.6,0.457,5.5,16.8,0.326,31.3,63.7,0.491,18.2,24.1,0.7559999999999999,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,97.3,29.7,36,30,1.42,0.54,1.96,106.0,104.4,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.491,14.2,74.8,0.226,626901,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,14,Los Angeles Lakers,1,1,82,45,37,1.2162162159999999,240.9,37.1,81.0,0.45799999999999996,8.7,24.6,0.355,28.4,56.4,0.503,19.3,27.9,0.6920000000000001,11.5,33.3,44.8,22.2,7.0,5.2,15.0,17.9,102.2,30.7,44,38,1.16,0.32,1.48,107.8,106.6,94.4,0.345,0.303,0.5479999999999999,0.512,13.9,27.0,0.239,0.512,13.9,74.3,0.239,778877,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2014,14,Los Angeles Lakers,1,0,82,27,55,0.490909091,240.3,38.3,85.1,0.45,9.4,24.8,0.381,28.8,60.3,0.478,17.0,22.4,0.757,9.1,32.0,41.0,24.5,7.5,5.4,15.1,19.8,103.0,26.8,25,57,-6.29,0.96,-5.33,104.2,110.6,98.7,0.263,0.29100000000000004,0.542,0.505,13.7,20.2,0.19899999999999998,0.505,13.7,71.0,0.19899999999999998,771974,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2015,14,Los Angeles Lakers,1,0,82,21,61,0.344262295,243.0,37.2,85.6,0.435,6.5,18.9,0.344,30.8,66.8,0.461,17.5,23.6,0.741,11.6,32.3,43.9,20.9,7.0,4.5,13.2,21.2,98.5,27.0,23,59,-6.84,0.67,-6.17,103.4,110.6,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.473,12.1,76.3,0.204,768244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
2016,14,Los Angeles Lakers,1,0,82,17,65,0.26153846199999997,240.6,35.1,84.8,0.414,7.8,24.6,0.317,27.3,60.2,0.45399999999999996,19.3,24.7,0.7809999999999999,10.7,32.3,43.0,18.0,7.2,4.1,13.7,20.3,97.3,26.5,17,65,-9.56,0.64,-8.92,101.6,111.6,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.46,12.5,74.7,0.228,778877,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
2017,14,Los Angeles Lakers,1,0,82,26,56,0.46428571399999996,240.3,39.3,87.4,0.45,8.9,25.7,0.34600000000000003,30.4,61.6,0.493,17.0,22.6,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,25.1,24,58,-6.88,0.58,-6.29,106.0,113.0,98.5,0.259,0.295,0.537,0.501,13.5,25.0,0.195,0.501,13.5,75.8,0.195,776917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1996,15,Vancouver Grizzlies,1,0,82,15,67,0.223880597,242.4,33.8,79.1,0.428,4.5,13.8,0.32899999999999996,29.3,65.3,0.44799999999999995,17.6,24.4,0.7240000000000001,11.7,26.5,38.1,20.8,8.9,4.1,16.4,22.6,89.8,27.2,15,67,-9.98,0.43,-9.55,97.6,108.5,91.0,0.308,0.174,0.5,0.456,15.5,27.3,0.223,0.456,15.5,66.3,0.223,654013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1997,15,Vancouver Grizzlies,1,0,82,14,68,0.20588235300000002,241.2,34.4,78.7,0.43700000000000006,5.4,15.5,0.349,29.0,63.2,0.45799999999999996,15.0,21.1,0.7090000000000001,12.5,26.3,38.8,22.7,8.0,5.7,15.9,21.4,89.2,25.0,15,67,-10.23,0.06,-10.17,100.3,111.8,88.4,0.26899999999999996,0.19699999999999998,0.507,0.47100000000000003,15.3,29.7,0.191,0.47100000000000003,15.3,64.1,0.191,683442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1998,15,Vancouver Grizzlies,1,0,82,19,63,0.301587302,241.8,36.7,80.1,0.45799999999999996,4.0,11.0,0.36200000000000004,32.7,69.1,0.473,19.3,26.2,0.7390000000000001,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6,26.5,22,60,-7.3,-0.17,-7.47,104.1,112.0,92.1,0.327,0.13699999999999998,0.527,0.48200000000000004,15.8,31.5,0.242,0.48200000000000004,15.8,66.9,0.242,660457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1999,15,Vancouver Grizzlies,1,0,50,8,42,0.19047619,243.5,32.9,76.8,0.428,3.0,9.1,0.327,29.9,67.7,0.442,20.2,28.2,0.7170000000000001,13.0,27.2,40.2,19.3,8.4,4.0,17.0,22.5,88.9,25.0,11,39,-8.66,-0.28,-8.94,98.4,107.9,89.0,0.36700000000000005,0.11800000000000001,0.498,0.447,16.0,30.9,0.263,0.447,16.0,66.9,0.263,417966,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
