Season,TeamID,E/W,Conference Finalist,W/L,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,MOV,Pace,eFG%,Attendance,Standings_Bucket
2015,25,1.0,0.0,1.6451612903225807,38.7,86.0,9.8,27.2,15.5,19.4,10.7,35.1,21.9,6.4,4.5,13.6,18.2,102.8,27.0,4.23,94.2,0.508,798368,0.0
2015,1,0.0,1.0,2.727272727272727,38.1,81.7,10.0,26.2,16.5,21.2,8.7,31.8,25.7,9.1,4.6,14.2,17.8,102.5,27.8,5.43,93.9,0.527,713909,0.0
2015,24,1.0,0.0,0.9069767441860463,38.8,85.8,8.5,25.0,16.4,21.5,10.9,32.2,20.2,8.5,4.7,15.1,21.3,102.4,25.7,-0.9,96.3,0.501,693862,2.0
2015,8,1.0,0.0,0.5769230769230769,37.8,87.3,8.0,24.8,17.8,24.3,12.3,32.4,21.8,7.8,4.5,14.2,23.0,101.5,26.4,-3.55,96.1,0.479,602707,2.0
2015,2,0.0,0.0,0.9523809523809524,38.9,87.9,8.0,24.6,15.4,20.5,11.1,32.7,24.5,8.2,3.6,13.8,21.2,101.4,25.0,0.16,95.8,0.489,721350,1.0
2015,26,1.0,0.0,0.5471698113207547,36.7,80.7,5.6,16.5,22.3,29.3,10.9,33.3,20.3,6.7,4.0,16.3,20.7,101.3,26.0,-3.71,95.4,0.49,680049,2.0
2015,5,0.0,0.0,1.5625,36.6,82.9,7.9,22.3,19.7,25.2,11.7,34.0,21.7,6.3,5.8,14.0,18.2,100.8,28.8,3.0,92.8,0.489,886612,0.0
2015,19,1.0,0.0,1.2162162162162162,37.9,82.9,7.1,19.3,16.4,21.8,11.5,32.0,22.0,6.7,6.2,13.3,18.7,99.4,25.3,0.79,91.4,0.501,683757,1.0
2015,30,0.0,0.0,1.2777777777777777,38.3,82.8,6.1,16.8,15.9,21.4,10.5,34.2,24.0,7.3,4.6,15.0,20.8,98.5,28.6,0.72,93.7,0.499,747796,1.0
2015,9,0.0,0.0,0.64,37.1,85.8,8.6,24.9,15.8,22.4,12.8,32.1,21.6,7.6,4.7,13.4,19.0,98.5,25.9,-1.0,92.8,0.482,625917,2.0
2015,14,1.0,0.0,0.3442622950819672,37.2,85.6,6.5,18.9,17.5,23.6,11.6,32.3,20.9,7.0,4.5,13.2,21.2,98.5,27.0,-6.84,94.0,0.473,768244,2.0
2015,15,1.0,0.0,2.0370370370370368,37.8,82.5,5.2,15.2,17.6,22.8,10.4,32.1,21.7,8.5,4.2,13.3,19.1,98.3,29.6,3.24,92.0,0.489,710502,1.0
2015,3,0.0,0.0,0.8636363636363636,37.4,83.0,6.6,19.9,16.6,22.2,10.3,32.0,20.9,7.0,4.1,13.8,19.3,98.0,28.6,-2.88,92.7,0.491,698529,1.0
