Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
1992,26,Sacramento Kings,1,0,82,29,53,0.5471698110000001,241.8,40.8,87.7,0.466,2.9,8.2,0.353,37.9,79.4,0.47700000000000004,19.7,26.4,0.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3,25.1,26,56,-6.06,0.44,-5.63,103.9,109.9,99.6,0.301,0.094,0.525,0.48200000000000004,14.3,28.5,0.225,0.48200000000000004,14.3,64.2,0.225,697574,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1993,26,Sacramento Kings,1,0,82,25,57,0.43859649100000003,241.2,41.0,88.6,0.46299999999999997,3.2,9.6,0.332,37.8,79.0,0.478,22.7,29.8,0.762,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9,26.5,33,49,-3.17,0.17,-3.0,106.5,109.6,100.8,0.337,0.10800000000000001,0.53,0.48100000000000004,14.1,30.7,0.257,0.48100000000000004,14.1,66.7,0.257,709997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1994,26,Sacramento Kings,1,0,82,28,54,0.518518519,240.9,38.8,85.7,0.452,3.1,8.9,0.353,35.6,76.8,0.46399999999999997,20.4,28.0,0.731,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1,26.7,26,56,-5.77,0.44,-5.32,103.3,109.2,97.5,0.326,0.10400000000000001,0.516,0.47100000000000003,14.2,30.4,0.239,0.47100000000000003,14.2,66.4,0.239,710497,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1995,26,Sacramento Kings,1,0,82,39,43,0.9069767440000001,242.1,36.9,78.8,0.46799999999999997,4.4,12.6,0.34600000000000003,32.5,66.2,0.491,20.1,28.3,0.711,13.1,28.4,41.4,22.2,7.9,5.6,17.7,24.9,98.2,26.4,38,44,-1.0,0.26,-0.74,105.5,106.5,92.3,0.359,0.16,0.5379999999999999,0.496,16.2,32.1,0.255,0.496,16.2,67.0,0.255,709997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1996,26,Sacramento Kings,1,0,82,39,43,0.9069767440000001,240.9,36.2,79.2,0.457,5.6,14.6,0.387,30.6,64.6,0.473,21.5,29.4,0.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26.0,99.5,26.6,33,49,-2.71,0.09,-2.62,106.2,109.1,93.4,0.371,0.184,0.54,0.493,16.0,32.5,0.271,0.493,16.0,69.0,0.271,709999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
1997,26,Sacramento Kings,1,0,82,34,48,0.708333333,242.1,36.6,80.6,0.45399999999999996,5.0,12.9,0.391,31.5,67.7,0.466,18.2,25.2,0.723,13.4,28.1,41.5,21.9,7.2,4.4,16.2,23.7,96.4,27.4,31,51,-3.38,-0.26,-3.64,105.0,108.7,91.0,0.313,0.16,0.526,0.485,15.0,32.0,0.226,0.485,15.0,68.5,0.226,709993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
1987,27,San Antonio Spurs,1,0,82,28,54,0.518518519,241.5,43.1,90.9,0.474,1.4,4.9,0.29,41.6,86.0,0.484,20.7,28.0,0.742,15.7,28.6,44.3,27.1,9.6,4.0,17.1,23.5,108.3,27.1,28,54,-5.1,0.01,-5.09,105.9,110.8,101.7,0.307,0.054000000000000006,0.525,0.48200000000000004,14.2,34.3,0.228,0.48200000000000004,14.2,68.1,0.228,341132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1988,27,San Antonio Spurs,1,0,82,31,51,0.607843137,241.5,45.2,92.2,0.49,1.6,5.0,0.32299999999999995,43.6,87.2,0.5,21.6,29.4,0.733,14.4,28.5,42.9,28.6,9.0,5.7,17.3,24.3,113.6,26.2,29,53,-4.88,-0.14,-5.02,108.2,112.8,104.4,0.319,0.055,0.54,0.499,14.1,32.0,0.23399999999999999,0.499,14.1,64.4,0.23399999999999999,334354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1989,27,San Antonio Spurs,1,0,82,21,61,0.344262295,240.9,42.3,90.4,0.46799999999999997,0.8,3.6,0.215,41.5,86.8,0.479,20.1,28.9,0.698,15.8,26.6,42.4,24.8,11.7,5.2,20.9,26.3,105.5,25.6,23,59,-7.28,-0.17,-7.45,100.9,107.9,104.1,0.319,0.04,0.512,0.47200000000000003,16.8,34.5,0.223,0.47200000000000003,16.8,63.5,0.223,323573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
1990,27,San Antonio Spurs,1,0,82,56,26,2.153846154,240.6,41.3,85.3,0.484,0.7,2.8,0.239,40.7,82.6,0.49200000000000005,23.0,30.9,0.745,14.2,30.2,44.4,24.8,9.7,6.8,17.1,22.6,106.3,26.4,50,32,3.49,0.09,3.58,107.7,104.2,98.5,0.36200000000000004,0.032,0.537,0.488,14.7,34.2,0.27,0.488,14.7,68.7,0.27,586787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
