Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
1994,3,New Jersey Nets,0,0,82,45,37,1.2162162159999999,241.8,38.6,86.8,0.445,2.7,8.3,0.327,35.9,78.4,0.45799999999999996,23.2,30.4,0.762,15.9,31.2,47.0,23.2,8.5,7.0,14.6,20.6,103.2,26.6,47,35,2.2,-0.08,2.11,107.2,104.9,95.5,0.35100000000000003,0.096,0.515,0.461,12.7,34.0,0.267,0.461,12.7,69.1,0.267,658304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1995,3,New Jersey Nets,0,0,82,30,52,0.576923077,242.4,35.8,82.2,0.436,5.0,15.8,0.319,30.8,66.4,0.46399999999999997,21.3,28.1,0.759,14.8,31.3,46.1,23.0,6.6,6.7,15.9,22.5,98.1,27.5,32,50,-3.13,-0.14,-3.28,105.2,108.6,92.3,0.342,0.192,0.519,0.467,14.4,33.3,0.26,0.467,14.4,70.9,0.26,684102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
1996,3,New Jersey Nets,0,0,82,30,52,0.576923077,242.7,35.1,82.3,0.42700000000000005,3.0,9.1,0.335,32.1,73.2,0.43799999999999994,20.4,27.4,0.745,16.5,30.5,47.0,21.4,7.6,7.0,16.8,22.9,93.7,27.4,29,53,-4.23,0.09,-4.14,101.9,106.5,90.9,0.332,0.111,0.49700000000000005,0.445,15.1,36.4,0.248,0.445,15.1,70.9,0.248,638144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1997,3,New Jersey Nets,0,0,82,26,56,0.46428571399999996,241.2,36.5,86.5,0.42200000000000004,5.9,16.7,0.353,30.6,69.8,0.439,18.3,24.8,0.74,17.2,29.0,46.2,21.0,8.3,5.9,15.7,22.7,97.2,26.8,28,54,-4.56,0.67,-3.89,104.7,109.7,92.4,0.28600000000000003,0.193,0.499,0.456,13.9,36.4,0.212,0.456,13.9,69.0,0.212,670628,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1998,3,New Jersey Nets,0,0,82,43,39,1.102564103,242.4,37.3,84.5,0.441,3.8,11.4,0.331,33.5,73.1,0.45799999999999996,21.3,28.7,0.7440000000000001,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6,27.8,46,36,1.57,0.31,1.88,108.3,106.6,91.0,0.33899999999999997,0.135,0.513,0.46299999999999997,12.9,36.7,0.253,0.46299999999999997,12.9,66.4,0.253,718514,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
1999,3,New Jersey Nets,0,0,50,16,34,0.470588235,241.0,33.8,83.2,0.406,4.5,13.6,0.331,29.3,69.6,0.42100000000000004,19.2,25.0,0.769,14.3,28.7,43.0,18.5,9.8,5.5,15.0,22.7,91.4,26.0,18,32,-3.78,0.58,-3.2,99.5,103.6,91.5,0.301,0.163,0.485,0.434,13.7,31.1,0.231,0.434,13.7,69.7,0.231,400387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
2000,3,New Jersey Nets,0,0,82,31,51,0.607843137,241.8,36.3,83.9,0.433,5.8,16.8,0.34700000000000003,30.5,67.2,0.45399999999999996,19.5,24.9,0.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98.0,27.3,38,44,-1.04,-0.15,-1.18,105.1,106.3,92.5,0.297,0.2,0.517,0.46799999999999997,12.6,28.1,0.233,0.46799999999999997,12.6,67.2,0.233,643631,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
2001,3,New Jersey Nets,0,0,82,26,56,0.46428571399999996,240.6,33.9,79.9,0.425,4.4,13.2,0.33299999999999996,29.5,66.7,0.44299999999999995,19.9,26.2,0.759,11.1,28.5,39.6,19.5,7.9,5.0,14.7,24.2,92.1,27.5,26,56,-5.05,-0.25,-5.3,100.0,105.5,91.8,0.32799999999999996,0.165,0.504,0.452,13.9,25.7,0.249,0.452,13.9,70.0,0.249,556573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2002,3,New Jersey Nets,0,1,82,52,30,1.733333333,241.8,37.1,83.1,0.446,4.9,14.6,0.33799999999999997,32.2,68.6,0.469,17.1,23.3,0.735,12.7,30.7,43.3,24.3,8.7,6.0,14.5,21.1,96.2,26.1,53,29,4.16,-0.49,3.67,104.0,99.5,91.8,0.28,0.175,0.515,0.47600000000000003,13.4,29.2,0.20600000000000002,0.47600000000000003,13.4,71.6,0.20600000000000002,564194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,3,New Jersey Nets,0,1,82,49,33,1.484848485,240.9,35.4,80.3,0.441,4.2,12.7,0.332,31.2,67.6,0.462,20.3,26.8,0.757,12.1,30.8,42.9,23.0,8.7,4.6,14.8,21.6,95.4,27.3,56,26,5.22,-0.8,4.42,103.8,98.1,91.6,0.33299999999999996,0.158,0.518,0.46799999999999997,13.8,28.7,0.252,0.46799999999999997,13.8,73.1,0.252,622574,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
